Trip_Year,Trip_Month,start station name,start station latitude,start station longitude,trip_count
2019,2,1 Ave & E 110 St,40.7923272,-73.9383,8084
2019,2,1 Ave & E 16 St,40.73221853,-73.98165557,8084
2019,2,1 Ave & E 18 St,40.73381219196632,-73.9805442094803,8084
2019,2,1 Ave & E 30 St,40.74144387,-73.97536082,8084
2019,2,1 Ave & E 44 St,40.75001986,-73.96905301,8084
2019,2,1 Ave & E 62 St,40.7612274,-73.96094022,8084
2019,2,1 Ave & E 68 St,40.76500525,-73.95818491,8084
2019,2,1 Ave & E 78 St,40.77140426,-73.9535166,8084
2019,2,1 Ave & E 94 St,40.78172120000001,-73.94594000000002,8084
2019,2,1 Pl & Clinton St,40.6809591,-73.99905709,8084
2019,2,10 Hudson Yards,40.752957,-74.00264,8084
2019,2,10 St & 5 Ave,40.6686273,-73.98700053,8084
2019,2,10 St & 7 Ave,40.6662078,-73.98199886,8084
2019,2,11 Ave & W 27 St,40.751396,-74.00522600000002,8084
2019,2,11 Ave & W 41 St,40.76030096,-73.99884222,8084
2019,2,11 Ave & W 59 St,40.771496710544405,-73.99046033620834,8084
2019,2,11 St & 35 Ave,40.76274420000001,-73.9391141,8084
2019,2,11 St & 43 Ave,40.7519071,-73.94791190000002,8084
2019,2,12 Ave & W 40 St,40.76087502,-74.00277668,8084
2019,2,12 St & 4 Ave,40.668603,-73.99043940000001,8084
2019,2,14 St & 5 Ave,40.666287,-73.98895053,8084
2019,2,14 St & 7 Ave,40.663779,-73.98396846,8084
2019,2,19 St & 24 Ave,40.77745520000001,-73.9225403,8084
2019,2,2 Ave & 36 St - Citi Bike HQ at Industry City,40.65708866668485,-74.00870203971863,8084
2019,2,2 Ave & 9 St,40.6724811,-73.99331394,8084
2019,2,2 Ave & E 104 St,40.7892105,-73.94370784,8084
2019,2,2 Ave & E 122 St,40.8006721,-73.9349,8084
2019,2,2 Ave & E 31 St,40.74290902,-73.97706058,8084
