Trip_Year,Trip_Month,Trip_Day,gender,usertype,trip_count,avg_trip_length (min)
2019,3,11,1,Subscriber,37595,12.0
2019,3,11,2,Customer,613,32.0
2019,3,11,2,Subscriber,10710,15.0
2019,3,12,1,Customer,752,56.0
2019,3,12,1,Subscriber,34878,11.0
2019,3,12,2,Customer,330,32.0
2019,3,12,2,Subscriber,9636,12.0
2019,3,13,1,Customer,884,22.0
2019,3,13,1,Subscriber,36672,11.0
2019,3,13,2,Customer,300,39.0
2019,3,13,2,Subscriber,10344,12.0
2019,3,14,1,Customer,1268,24.0
2019,3,14,1,Subscriber,41469,12.0
2019,3,14,2,Customer,581,47.0
2019,3,14,2,Subscriber,11718,13.0
2019,3,15,1,Customer,1811,39.0
2019,3,15,1,Subscriber,39854,13.0
2019,3,15,2,Customer,871,51.0
2019,3,15,2,Subscriber,11780,15.0
2019,3,16,1,Customer,2166,31.0
2019,3,16,1,Subscriber,25922,13.0
2019,3,16,2,Customer,1103,32.0
2019,3,16,2,Subscriber,9132,13.0
2019,3,17,1,Customer,2005,25.0
2019,3,17,1,Subscriber,22599,12.0
2019,3,17,2,Customer,1029,33.0
2019,3,17,2,Subscriber,8210,16.0
2019,3,18,1,Customer,1157,24.0
2019,3,18,1,Subscriber,33307,13.0
2019,3,18,2,Customer,504,32.0
2019,3,18,2,Subscriber,9610,15.0
2019,3,19,1,Customer,1103,32.0
2019,3,19,1,Subscriber,37946,11.0
2019,3,19,2,Customer,493,34.0
2019,3,19,2,Subscriber,11066,14.0
2019,3,20,1,Customer,1200,40.0
2019,3,20,1,Subscriber,39565,12.0
2019,3,20,2,Customer,531,51.0
2019,3,20,2,Subscriber,11625,17.0
2019,3,21,1,Customer,354,37.0
2019,3,21,1,Subscriber,16431,12.0
2019,3,21,2,Customer,68,20.0
2019,3,21,2,Subscriber,3834,11.0
2019,3,22,1,Customer,797,33.0
2019,3,22,1,Subscriber,26162,13.0
2019,3,22,2,Customer,292,25.0
2019,3,22,2,Subscriber,6916,16.0
2019,3,23,1,Customer,1556,41.0
2019,3,23,1,Subscriber,24155,12.0
2019,3,23,2,Customer,819,39.0
2019,3,23,2,Subscriber,8045,14.0
2019,3,24,1,Customer,3149,29.0
2019,3,24,1,Subscriber,28741,14.0
2019,3,24,2,Customer,2187,36.0
2019,3,24,2,Subscriber,10693,15.0
2019,3,25,1,Customer,1315,26.0
2019,3,25,1,Subscriber,37953,13.0
2019,3,25,2,Customer,567,44.0
