Trip_Year,Trip_Month,Trip_Day,gender,usertype,trip_count,avg_trip_length (min)
2019,4,1,1,Customer,1181,23.569291560824162
2019,4,1,1,Subscriber,37036,12.475808222630233
2019,4,1,2,Customer,488,27.81714480874317
2019,4,1,2,Subscriber,10619,14.905447782277049
2019,4,2,1,Customer,1160,27.73484195402299
2019,4,2,1,Subscriber,41821,11.50676255150921
2019,4,2,2,Customer,461,29.473101952277656
2019,4,2,2,Subscriber,12361,14.433091982849284
2019,4,3,1,Customer,1885,33.37470380194518
2019,4,3,1,Subscriber,47447,14.171563709683085
2019,4,3,2,Customer,950,39.14201754385965
2019,4,3,2,Subscriber,14271,15.834810688342325
2019,4,4,1,Customer,1814,36.419018743109156
2019,4,4,1,Subscriber,46666,12.746847454963643
2019,4,4,2,Customer,900,27.0457962962963
2019,4,4,2,Subscriber,13815,15.560805887320546
2019,4,5,1,Customer,738,17.410004516711833
2019,4,5,1,Subscriber,25525,13.304389813907934
2019,4,5,2,Customer,232,30.373275862068965
2019,4,5,2,Subscriber,6842,11.428593003994933
2019,4,6,1,Customer,4348,44.21052974547685
2019,4,6,1,Subscriber,36015,14.860457679670507
2019,4,6,2,Customer,2737,35.57165996833516
2019,4,6,2,Subscriber,13866,17.23816169046589
2019,4,7,1,Customer,4452,38.58939427972447
2019,4,7,1,Subscriber,35240,17.454113223609532
2019,4,7,2,Customer,2881,48.18925141733194
2019,4,7,2,Subscriber,13544,18.174806802520184
2019,4,8,1,Customer,2336,52.97497859589041
2019,4,8,1,Subscriber,47499,15.73609619851646
2019,4,8,2,Customer,1195,46.99945606694561
2019,4,8,2,Subscriber,14976,19.184989316239314
2019,4,9,1,Customer,1286,39.09971487817522
2019,4,9,1,Subscriber,42496,14.97064311935241
2019,4,9,2,Customer,524,31.832347328244275
2019,4,9,2,Subscriber,12532,15.103977816789019
2019,4,10,1,Customer,1954,46.28107301262368
2019,4,10,1,Subscriber,49217,14.991185972326635
2019,4,10,2,Customer,1027,42.74493670886076
2019,4,10,2,Subscriber,15317,16.302535309351263
2019,4,11,1,Customer,1623,33.538170055452866
2019,4,11,1,Subscriber,44075,13.832336547551522
2019,4,11,2,Customer,773,58.95476498490729
2019,4,11,2,Subscriber,13082,13.761449574478927
2019,4,12,1,Customer,1984,44.40040322580646
2019,4,12,1,Subscriber,39975,13.840110485720242
