Trip_Year,Trip_Month,start station name,start station latitude,start station longitude,trip_count
2020,2,34 Ave & 21 St,40.762813799999996,-73.9342862,9393
2020,2,34 Ave & 38 St,40.756913,-73.921631,9393
2020,2,34 St & 35 Ave,40.756933200000006,-73.92622309999999,9393
2020,2,35 Ave & 10 St,40.763154819103725,-73.93985509872438,9393
2020,2,35 Ave & 37 St,40.7557327,-73.92366109999999,9393
2020,2,35 St & 34 Ave,40.7580583,-73.92427509999999,9393
2020,2,35 St & Broadway,40.760339,-73.9222427,9393
2020,2,36 Ave & 10 St,40.7614376,-73.9411265,9393
2020,2,36 Ave & 31 St,40.75651272984955,-73.92957486212252,9393
2020,2,37 Ave & 35 St,40.7531106,-73.9279917,9393
2020,2,37 St & 24 Ave,40.7701477,-73.9120938,9393
2020,2,38 Ave & 29 St,40.75473,-73.93366999999999,9393
2020,2,39 St & 2 Ave,40.65539977447831,-74.0106278657913,9393
2020,2,4 Ave & 9 St,40.6705135,-73.98876585,9393
2020,2,4 Ave & E 12 St,40.732647,-73.99011,9393
2020,2,40 Ave & 9 St,40.75742,-73.945133,9393
2020,2,40 Ave & Crescent St,40.7535992020056,-73.9379560947418,9393
2020,2,43 St & Broadway,40.7577284,-73.9166368,9393
2020,2,44 Dr & 21 St,40.748000000000005,-73.94609270000001,9393
2020,2,44 Dr & Jackson Ave,40.74718234,-73.9432635,9393
2020,2,45 Rd & 11 St,40.74708586,-73.94977234,9393
2020,2,46 Ave & 5 St,40.74731,-73.95451,9393
2020,2,47 Ave & 31 St,40.743,-73.93561,9393
2020,2,47 Ave & Skillman Ave,40.7437524099784,-73.94176483154297,9393
2020,2,48 Ave & 30 Pl,40.74128309355993,-73.93725872039794,9393
2020,2,48 Ave & 5 St,40.74436328706688,-73.95587325096129,9393
2020,2,49 Ave & 21 St,40.74252,-73.948852,9393
2020,2,5 Ave & 3 St,40.672815500000006,-73.98352355,9393
2020,2,5 Ave & E 103 St,40.792255299999994,-73.95249933,9393
2020,2,5 Ave & E 126 St,40.806979999999996,-73.94174699999999,9393
2020,2,5 Ave & E 29 St,40.7451677,-73.98683077,9393
2020,2,5 Ave & E 63 St,40.766368,-73.971518,9393
2020,2,5 Ave & E 73 St,40.77282817,-73.96685276,9393
2020,2,5 Ave & E 78 St,40.77632142182271,-73.96427392959596,9393
2020,2,5 Ave & E 88 St,40.78307,-73.95939,9393
2020,2,5 Ave & E 93 St,40.785785100000005,-73.957481,9393
