Trip_Year,Trip_Month,Trip_Day,gender,usertype,trip_count,avg_trip_length (min)
2019,2,1,1,Customer,314,19.73853503184713
2019,2,1,1,Subscriber,19378,11.610847352667975
2019,2,1,2,Customer,32,32.81822916666667
2019,2,1,2,Subscriber,4680,19.59289886039886
2019,2,2,1,Customer,528,29.85378787878788
2019,2,2,1,Subscriber,15658,11.339326010133266
2019,2,2,2,Customer,113,20.452802359882007
2019,2,2,2,Subscriber,4810,12.263548163548164
2019,2,3,1,Customer,1026,25.469217024041587
2019,2,3,1,Subscriber,21222,12.588464015330004
2019,2,3,2,Customer,445,66.174531835206
2019,2,3,2,Subscriber,7309,13.426563141332602
2019,2,4,1,Customer,836,30.567962519936206
2019,2,4,1,Subscriber,33396,12.178265361121094
2019,2,4,2,Customer,396,38.45892255892256
2019,2,4,2,Subscriber,9865,15.604661260348031
2019,2,5,1,Customer,1116,90.56818996415771
2019,2,5,1,Subscriber,38376,12.092523973316656
2019,2,5,2,Customer,542,38.984071340713406
2019,2,5,2,Subscriber,11714,16.09619970405782
2019,2,6,1,Customer,639,24.59775691184142
2019,2,6,1,Subscriber,28790,11.307031955540118
2019,2,6,2,Customer,229,29.628893740902473
2019,2,6,2,Subscriber,8256,13.937602955426355
2019,2,7,1,Customer,589,23.429796264855685
2019,2,7,1,Subscriber,32057,11.253533809568374
2019,2,7,2,Customer,221,26.045399698340876
2019,2,7,2,Subscriber,8979,12.715116753907266
2019,2,8,1,Customer,740,23.659977477477476
2019,2,8,1,Subscriber,27139,11.954601618826535
2019,2,8,2,Customer,221,114.77443438914027
2019,2,8,2,Subscriber,7157,13.209282287736947
2019,2,9,1,Customer,670,30.562388059701494
2019,2,9,1,Subscriber,16531,11.196248462484624
2019,2,9,2,Customer,244,41.26386612021858
2019,2,9,2,Subscriber,5322,11.37025241137417
2019,2,10,1,Customer,645,32.648682170542635
2019,2,10,1,Subscriber,16560,12.790652173913042
2019,2,10,2,Customer,235,28.09985815602837
2019,2,10,2,Subscriber,5488,12.71691569484937
2019,2,11,1,Customer,445,19.080449438202248
2019,2,11,1,Subscriber,28918,11.723363187864537
2019,2,11,2,Customer,168,24.597718253968253
2019,2,11,2,Subscriber,8002,12.866260518203783
2019,2,12,1,Customer,176,26.332291666666666
2019,2,12,1,Subscriber,12312,11.257703866146848
2019,2,12,2,Customer,31,17.14032258064516
2019,2,12,2,Subscriber,2993,12.164700968927496
2019,2,13,1,Customer,437,44.67704042715484
2019,2,13,1,Subscriber,26729,11.985798820257648
2019,2,13,2,Customer,116,28.41609195402299
2019,2,13,2,Subscriber,6821,13.119987294140644
2019,2,14,1,Customer,618,56.431769147788565
2019,2,14,1,Subscriber,30850,11.237183684494868
2019,2,14,2,Customer,191,49.1588132635253
2019,2,14,2,Subscriber,8645,12.431347599768653
2019,2,15,1,Customer,1155,32.59383838383839
2019,2,15,1,Subscriber,33777,12.22513149973848
2019,2,15,2,Customer,411,45.08191403081914
2019,2,15,2,Subscriber,9579,13.17014650102655
2019,2,16,1,Customer,1349,40.749110452186805
2019,2,16,1,Subscriber,19653,12.807166844756525
2019,2,16,2,Customer,612,36.4645697167756
2019,2,16,2,Subscriber,6822,13.424271963256132
2019,2,17,1,Customer,1019,26.957392868825647
2019,2,17,1,Subscriber,15366,11.449920820859907
2019,2,17,2,Customer,464,46.61993534482759
2019,2,17,2,Subscriber,5250,13.737228571428572
2019,2,18,1,Customer,617,20.49378714208536
2019,2,18,1,Subscriber,18279,11.135538049127414
2019,2,18,2,Customer,272,21.20686274509804
2019,2,18,2,Subscriber,5512,12.681884978229316
2019,2,19,1,Customer,541,50.122889710412814
2019,2,19,1,Subscriber,25979,10.941847261249471
2019,2,19,2,Customer,204,30.251470588235293
2019,2,19,2,Subscriber,6940,12.070216138328531
2019,2,20,1,Customer,272,18.57420343137255
2019,2,20,1,Subscriber,15674,11.610372804219303
2019,2,20,2,Customer,58,20.045402298850572
2019,2,20,2,Subscriber,3901,12.182128514056224
2019,2,21,1,Customer,720,23.151319444444443
2019,2,21,1,Subscriber,29117,11.976560657576902
2019,2,21,2,Customer,296,23.70641891891892
2019,2,21,2,Subscriber,7853,13.79921898212997
2019,2,22,1,Customer,933,29.880618077884957
2019,2,22,1,Subscriber,30396,11.139332477957625
2019,2,22,2,Customer,288,32.76753472222222
2019,2,22,2,Subscriber,8485,13.525590257316832
2019,2,23,1,Customer,1252,25.152196485623
2019,2,23,1,Subscriber,20886,11.95714274314533
2019,2,23,2,Customer,461,30.55943600867679
2019,2,23,2,Subscriber,7153,12.491155226245398
2019,2,24,1,Customer,749,23.636048064085447
2019,2,24,1,Subscriber,16548,11.459177342679881
2019,2,24,2,Customer,318,30.923218029350103
2019,2,24,2,Subscriber,5436,14.354776796664215
2019,2,25,1,Customer,440,18.58784090909091
2019,2,25,1,Subscriber,25842,10.876138327786807
2019,2,25,2,Customer,161,22.338198757763973
2019,2,25,2,Subscriber,6753,12.546831038057158
2019,2,26,1,Customer,500,18.474633333333333
2019,2,26,1,Subscriber,28301,11.002266115449396
2019,2,26,2,Customer,116,30.22198275862069
2019,2,26,2,Subscriber,7576,12.10161034846885
2019,2,27,1,Customer,423,17.27123719464145
2019,2,27,1,Subscriber,27665,10.505505753358637
2019,2,27,2,Customer,133,26.261779448621553
2019,2,27,2,Subscriber,7383,12.37641879994582
2019,2,28,1,Customer,580,21.796091954022987
2019,2,28,1,Subscriber,28736,10.70767272178916
2019,2,28,2,Customer,160,36.4275
2019,2,28,2,Subscriber,7690,11.527262678803641
