Trip_Year,Trip_Month,end station name,end station latitude,end station longitude,trip_count
2019,3,36 Ave & 10 St,40.7614376,-73.9411265,10919
2019,3,36 Ave & 31 St,40.75651272984955,-73.92957486212252,10919
2019,3,37 Ave & 35 St,40.7531106,-73.9279917,10919
2019,3,37 St & 24 Ave,40.7701477,-73.9120938,10919
2019,3,39 St & 2 Ave - Citi Bike HQ at Industry City,40.65539977447831,-74.0106278657913,10919
2019,3,4 Ave & 2 St,40.674613422475815,-73.98501142859459,10919
2019,3,4 Ave & 9 St,40.6705135,-73.98876585,10919
2019,3,40 Ave & 9 St,40.75742,-73.945133,10919
2019,3,40 Ave & Crescent St,40.7535992020056,-73.9379560947418,10919
2019,3,43 St & Broadway,40.7577284,-73.9166368,10919
2019,3,44 Dr & 21 St,40.748000000000005,-73.94609270000001,10919
2019,3,44 Dr & Jackson Ave,40.74718234,-73.9432635,10919
2019,3,45 Rd & 11 St,40.74708586,-73.94977234,10919
2019,3,46 Ave & 5 St,40.74731,-73.95451,10919
2019,3,47 Ave & 31 St,40.743,-73.93561,10919
2019,3,47 Ave & Skillman Ave,40.7437524099784,-73.94176483154297,10919
2019,3,48 Ave & 30 Pl,40.74128309355993,-73.93725872039794,10919
2019,3,48 Ave & 5 St,40.74436328706688,-73.95587325096129,10919
2019,3,49 Ave & 21 St,40.74252,-73.948852,10919
2019,3,5 Ave & 3 St,40.672815500000006,-73.98352355,10919
2019,3,5 Ave & E 103 St,40.792255299999994,-73.95249933,10919
2019,3,5 Ave & E 126 St,40.806979999999996,-73.94174699999999,10919
2019,3,5 Ave & E 29 St,40.7451677,-73.98683077,10919
2019,3,5 Ave & E 63 St,40.766368,-73.971518,10919
2019,3,5 Ave & E 73 St,40.77282817,-73.96685276,10919
2019,3,5 Ave & E 78 St,40.77632142182271,-73.96427392959596,10919
2019,3,5 Ave & E 88 St,40.78307,-73.95939,10919
2019,3,5 Ave & E 93 St,40.785785100000005,-73.957481,10919
2019,3,5 St & 51 Ave,40.7423737,-73.9566,10919
2019,3,5 St & 6 Ave,40.670483600000004,-73.98208968,10919
2019,3,5 St & Market St,40.6999974843885,-73.97440128028394,10919
2019,3,58th St Depot,40.716909780459645,-73.98383796215056,10919
2019,3,6 Ave & 12 St,40.666318100000005,-73.9854617,10919
2019,3,6 Ave & 9 St,40.668127,-73.98377641,10919
2019,3,6 Ave & Broome St,40.72430832160217,-74.00473035871983,10919
2019,3,6 Ave & Canal St,40.72243797,-74.00566443,10919
2019,3,6 Ave & Spring St,40.7252556952547,-74.00412082672119,10919
2019,3,6 Ave & W 33 St,40.74901271,-73.98848395,10919
2019,3,6 St & 7 Ave,40.668662700000006,-73.97988067,10919
2019,3,7 Ave & Central Park South,40.7667405590595,-73.9790689945221,10919
2019,3,7 Ave & Park Pl,40.67761470000001,-73.97324283,10919
2019,3,7 St & 3 Ave,40.67260298150126,-73.98983001708984,10919
2019,3,7 St & 5 Ave,40.670492200000005,-73.98541675,10919
2019,3,8 Ave & W 31 St,40.7505853470215,-73.9946848154068,10919
2019,3,8 Ave & W 33 St,40.751551,-73.993934,10919
2019,3,8 Ave & W 52 St,40.76370739,-73.9851615,10919
2019,3,9 Ave & W 22 St,40.7454973,-74.00197139,10919
2019,3,9 Ave & W 28 St,40.74937024193277,-73.99923384189607,10919
2019,3,9 Ave & W 45 St,40.76019252,-73.9912551,10919
2019,3,9 St & 44 Rd,40.74966,-73.9521,10919
2019,3,Adam Clayton Powell Blvd & W 115 St,40.802535,-73.9532423,10919
2019,3,Adam Clayton Powell Blvd & W 118 St,40.804372,-73.951475,10919
2019,3,Adam Clayton Powell Blvd & W 123 St,40.8078316,-73.949373,10919
2019,3,Adam Clayton Powell Blvd & W 126 St,40.809495347779475,-73.94776493310928,10919
2019,3,Adelphi St & Myrtle Ave,40.69308257,-73.97178913,10919
2019,3,Albany Ave & Fulton St,40.6800105,-73.938475,10919
2019,3,Allen St & Hester St,40.71605866,-73.99190759,10919
2019,3,Allen St & Rivington St,40.72019576,-73.98997825,10919
2019,3,Allen St & Stanton St,40.722055,-73.989111,10919
2019,3,Amsterdam Ave & W 119 St,40.8086249,-73.9596214,10919
2019,3,Amsterdam Ave & W 125 St,40.813358,-73.956461,10919
2019,3,Amsterdam Ave & W 66 St,40.7746671,-73.98470567,10919
2019,3,Amsterdam Ave & W 73 St,40.779668090073116,-73.98093044757842,10919
2019,3,Amsterdam Ave & W 79 St,40.7829391,-73.9786517,10919
